bioguide_id,birthday,chamber,contact_form,crp_id,district,fax,fec_ids,first_name,gender,govtrack_id,in_office,last_name,leadership_role,middle_name,name_suffix,nickname,oc_email,ocd_id,office,party,phone,state,state_name,term_end,term_start,thomas_id,title,votesmart_id,website
H001078,1962-04-18,house,None,N00035477,6,None,H8GA06286,Karen,F,412737,True,Handel,None,None,None,None,Rep.Handel@opencongress.org,ocd-division/country:us/state:ga/cd:6,1211 Longworth House Office Building,R,202-225-4501,GA,Georgia,2019-01-03,2017-06-26,,Rep,69553,https://handel.house.gov
N000190,1953-06-20,house,None,N00027783,5,None,H8SC05158,Ralph,M,412738,True,Norman,None,None,Jr.,None,Rep.Norman@opencongress.org,ocd-division/country:us/state:sc/cd:5,2350 Rayburn House Office Building,R,202-225-5501,SC,South Carolina,2019-01-03,2017-06-26,,Rep,47930,https://norman.house.gov
G000584,1961-04-17,house,None,N00040733,0,202-225-5687,H8MT01182,Greg,M,412736,True,Gianforte,None,None,None,None,Rep.Gianforte@opencongress.org,ocd-division/country:us/state:mt,1419 Longworth House Office Building,R,202-225-3211,MT,Montana,2019-01-03,2017-06-21,,Rep,168594,https://gianforte.house.gov
E000298,1956-07-19,house,https://estes.house.gov/contact/email,N00040712,4,None,H8KS04112,Ron,M,412735,True,Estes,None,None,None,None,Rep.Estes@opencongress.org,ocd-division/country:us/state:ks/cd:4,2452 Rayburn House Office Building,R,202-225-6216,KS,Kansas,2019-01-03,2017-04-25,,Rep,125031,https://estes.house.gov
S001202,1953-03-01,senate,https://www.strange.senate.gov/content/contact-senator,N00040607,None,None,S8AL00308,Luther,M,412734,True,Strange,None,None,None,None,Sen.Strange@opencongress.org,ocd-division/country:us/state:al,326 Russell Senate Office Building,R,202-224-4124,AL,Alabama,2021-01-03,2017-02-09,,Sen,121424,https://www.strange.senate.gov
C001109,1966-07-28,house,None,N00035504,0,None,H6WY00159,Liz,F,412732,True,Cheney,None,None,None,None,Rep.Cheney@opencongress.org,ocd-division/country:us/state:wy,416 Cannon House Office Building,R,202-225-2311,WY,Wyoming,2019-01-03,2017-01-03,,Rep,145932,https://cheney.house.gov
G000579,1984-03-03,house,None,N00039330,8,None,H6WI08155,Mike,M,412731,True,Gallagher,None,None,None,None,Rep.Gallagher@opencongress.org,ocd-division/country:us/state:wi/cd:8,1007 Longworth House Office Building,R,202-225-5665,WI,Wisconsin,2019-01-03,2017-01-03,,Rep,171843,https://gallagher.house.gov
J000298,1965-09-21,house,None,N00038858,7,None,H6WA07458,Pramila,F,412730,True,Jayapal,None,None,None,None,Rep.Jayapal@opencongress.org,ocd-division/country:us/state:wa/cd:7,319 Cannon House Office Building,D,202-225-3106,WA,Washington,2019-01-03,2017-01-03,,Rep,153141,https://jayapal.house.gov
G000580,1972-03-27,house,None,N00038847,5,None,H6VA05142,Thomas,M,412729,True,Garrett,None,None,None,None,Rep.Tomgarrett@opencongress.org,ocd-division/country:us/state:va/cd:5,415 Cannon House Office Building,R,202-225-4711,VA,Virginia,2019-01-03,2017-01-03,,Rep,134493,https://tomgarrett.house.gov
M001200,1961-10-10,house,None,N00039327,4,None,H6VA04061,A.,M,412728,True,McEachin,None,Donald,None,None,Rep.Mceachin@opencongress.org,ocd-division/country:us/state:va/cd:4,314 Cannon House Office Building,D,202-225-6365,VA,Virginia,2019-01-03,2017-01-03,,Rep,8230,https://mceachin.house.gov
T000477,1979-06-27,house,None,N00031263,2,None,H0VA02118,Scott,M,412727,True,Taylor,None,None,None,None,Rep.Taylor@opencongress.org,ocd-division/country:us/state:va/cd:2,412 Cannon House Office Building,R,202-225-4215,VA,Virginia,2019-01-03,2017-01-03,,Rep,144514,https://taylor.house.gov
A000375,1972-03-09,house,None,N00038285,19,None,H6TX19099,Jodey,M,412726,True,Arrington,None,None,None,None,Rep.Arrington@opencongress.org,ocd-division/country:us/state:tx/cd:19,1029 Longworth House Office Building,R,202-225-4005,TX,Texas,2019-01-03,2017-01-03,,Rep,155685,https://arrington.house.gov
G000581,1967-09-04,house,None,N00038809,15,None,H6TX15162,Vicente,M,412725,True,Gonzalez,None,None,None,None,Rep.Gonzalez@opencongress.org,ocd-division/country:us/state:tx/cd:15,113 Cannon House Office Building,D,202-225-2531,TX,Texas,2019-01-03,2017-01-03,,Rep,166483,https://gonzalez.house.gov
K000392,1966-10-08,house,None,N00025445,8,None,H2TN07103,David,M,412724,True,Kustoff,None,None,None,None,Rep.Kustoff@opencongress.org,ocd-division/country:us/state:tn/cd:8,508 Cannon House Office Building,R,202-225-4714,TN,Tennessee,2019-01-03,2017-01-03,,Rep,48997,https://kustoff.house.gov
S001199,1964-01-23,house,None,N00038781,16,None,H6PA16320,Lloyd,M,412722,True,Smucker,None,None,None,None,Rep.Smucker@opencongress.org,ocd-division/country:us/state:pa/cd:16,516 Cannon House Office Building,R,202-225-2411,PA,Pennsylvania,2019-01-03,2017-01-03,,Rep,102454,https://smucker.house.gov
F000466,1973-12-17,house,None,N00038779,8,None,H6PA08277,Brian,M,412721,True,Fitzpatrick,None,None,None,None,Rep.Brianfitzpatrick@opencongress.org,ocd-division/country:us/state:pa/cd:8,514 Cannon House Office Building,R,202-225-4276,PA,Pennsylvania,2019-01-03,2017-01-03,,Rep,167708,https://brianfitzpatrick.house.gov
T000478,1961-02-04,house,None,N00036351,22,None,H4NY22051,Claudia,F,412720,True,Tenney,None,None,None,None,Rep.Tenney@opencongress.org,ocd-division/country:us/state:ny/cd:22,512 Cannon House Office Building,R,202-225-3665,NY,New York,2019-01-03,2017-01-03,,Rep,127668,https://tenney.house.gov
F000464,1952-08-25,house,None,N00037288,19,202-225-1168,H6NY19169,John,M,412719,True,Faso,None,None,None,None,Rep.Faso@opencongress.org,ocd-division/country:us/state:ny/cd:19,1616 Longworth House Office Building,R,202-225-5614,NY,New York,2019-01-03,2017-01-03,,Rep,4311,https://faso.house.gov
E000297,1954-09-27,house,None,N00034549,13,202-225-0816,H2NY13096,Adriano,M,412718,True,Espaillat,None,None,None,None,Rep.Espaillat@opencongress.org,ocd-division/country:us/state:ny/cd:13,1630 Longworth House Office Building,D,202-225-4365,NY,New York,2019-01-03,2017-01-03,,Rep,14379,https://espaillat.house.gov
S001201,1962-08-31,house,None,N00038742,3,202-225-4669,H6NY03247,Thomas,M,412717,True,Suozzi,None,None,None,None,Rep.Suozzi@opencongress.org,ocd-division/country:us/state:ny/cd:3,226 Cannon House Office Building,D,202-225-3335,NY,New York,2019-01-03,2017-01-03,,Rep,92111,https://suozzi.house.gov
K000390,1980-04-25,house,None,N00033530,4,None,H2NV00050,Ruben,M,412716,True,Kihuen,None,None,None,None,Rep.Kihuen@opencongress.org,ocd-division/country:us/state:nv/cd:4,313 Cannon House Office Building,D,202-225-9894,NV,Nevada,2019-01-03,2017-01-03,,Rep,66851,https://kihuen.house.gov
R000608,1957-08-02,house,None,N00038734,3,None,H6NV03139,Jacky,F,412715,True,Rosen,None,None,None,None,Rep.Rosen@opencongress.org,ocd-division/country:us/state:nv/cd:3,413 Cannon House Office Building,D,202-225-3252,NV,Nevada,2019-01-03,2017-01-03,,Rep,169471,https://rosen.house.gov
G000583,1975-03-08,house,None,N00036944,5,None,H6NJ05171,Josh,M,412714,True,Gottheimer,None,None,None,None,Rep.Gottheimer@opencongress.org,ocd-division/country:us/state:nj/cd:5,213 Cannon House Office Building,D,202-225-4465,NJ,New Jersey,2019-01-03,2017-01-03,,Rep,169202,https://gottheimer.house.gov
